City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Healthcare Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year,Continent,Latitude,Longitude
Minneapolis,United States,16,19,20,2,30,21,24,7,42,2020,North America,44.9772995,-93.2654692
Pittsburgh,United States,17,24,7,15,22,5,30,29,30,2020,North America,40.4416941,-79.9900861
Reno,United States,18,29,14,40,23,25,2,12,37,2020,North America,39.5261206,-119.8126581
Sacramento,United States,19,30,24,28,31,29,6,31,8,2020,North America,38.5810606,-121.493895
Boston,United States,20,35,5,8,36,41,40,6,31,2020,North America,42.3602534,-71.0582912
Nashville,United States,21,25,18,37,20,22,28,20,18,2020,North America,36.1622767,-86.7742984
Saint Louis,United States,22,20,41,1,17,3,8,23,27,2020,North America,38.6264256,-90.1995853
Tucson,United States,23,37,25,42,18,17,11,5,29,2020,North America,32.2228765,-110.9748477
Denver,United States,24,13,8,24,21,31,25,25,39,2020,North America,39.7392364,-104.9848623
Atlanta,United States,25,8,37,32,24,20,37,32,9,2020,North America,33.7489924,-84.3902644
Washington,United States,26,14,31,22,39,33,35,21,21,2020,North America,38.8950368,-77.0365427
Anchorage,United States,27,27,36,41,41,14,9,1,43,2020,North America,61.2163129,-149.894852
Orlando,United States,28,38,27,39,6,23,26,15,12,2020,North America,28.5421109,-81.3790304
Oakland,United States,29,32,40,5,38,37,27,19,3,2020,North America,37.8044557,-122.2713563
Salt Lake City,United States,30,16,2,23,4,30,18,42,34,2020,North America,40.7596198,-111.8867975
San Francisco,United States,31,9,29,30,42,40,42,27,1,2020,North America,37.7790262,-122.419906
Houston,United States,32,7,38,16,5,7,32,40,14,2020,North America,29.7589382,-95.3676974
Indianapolis,United States,33,36,33,25,8,10,10,33,33,2020,North America,39.7683331,-86.1583502
Baltimore,United States,34,22,43,6,27,12,13,35,22,2020,North America,39.2908816,-76.610759
Honolulu,United States,35,42,12,17,40,42,33,18,6,2020,North America,21.2890997,-157.717299
Las Vegas,United States,36,17,30,43,11,16,7,37,38,2020,North America,36.1672559,-115.148516
Miami,United States,37,39,28,36,25,34,39,24,13,2020,North America,25.7741728,-80.19362
Phoenix,United States,38,18,26,31,10,19,14,41,40,2020,North America,33.4484367,-112.074141
Chicago,United States,39,33,39,27,35,28,34,26,35,2020,North America,41.8755616,-87.6244212
Philadelphia,United States,40,40,35,20,34,27,31,36,25,2020,North America,39.9527237,-75.1635262
Los Angeles,United States,41,31,15,35,29,39,43,43,5,2020,North America,34.0536909,-118.242766
